RowID,JobLink_or_ID,JobTitle,CompanyName,PostingDate,FullText,is_IT,is_DataScience,is_AI,is_ML,is_Related,Qualification,MaxYearsExperience,Level_of_career,Languages,Cloud,DevOps,Data and Frameworks,AI,Visualization,Other
1,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_WkGcJyr14TFQN9LhQZ8PznsWDLkYaU6cJ_u16zMP-mXsX3FgZ48Uf3utsHDIvC3phxneR_Uf1KmkK7vDHArv7fyfFqBU_wRMKAUCJywB9y1kvU2hQLSe9cnihAf8VCchxW2PU2Jfmum1fF-izaLYEoVOBRmgvcqA9sxhEWdekLHjaicprv0l9kUvxphQWqbr0lnqrCpxh5PrcECrTAeWOUQ3ESZBfxzpP9QI80uLF5ZKNPG6ieqfjEI97TTpAbidj8tPapZdtkwnNERry5w6m4d_Xf_m3cIdwjl3sLsY-ycMTkqZn5AZ0EQQQuU7ya706xvn-60jZvfbFE9dKNOI7rMMIkr-myMPM7o0m0eMGtEnFsikqSLjb_jyRbukHUr_cHbmGiAG6Twt5hqbGBx9STC_Z41OUTIoIjLlaDneQ7tBmbgfvn4OSUfZSchspeIa511FB-cLVqOfdtL1E6F6QwS0tm7tj0uhQWLS-iQu3YhjeGwAamMnLUOxtHcR9opwvpfU98D-stzcJQdqNx-dPgnkeI-H2X3mtMPb5LQJG5uy9kyiYUUCJfr2CrMibgse4yLkkRy3QV_W3yY33aNw1x8ui-D30u0Fiem1tfVPQcKZYXtQHMH7uHezrD5HNhGhzMbTIwLFyerbPgVk15UFDp9M7fDC2fPlhNnI9OScecrKTY3jpUepavx2m4GI7X4NSs0UN5dNaCVMCOg6MAHvijGTkyFC9o98lHZEMKno9vLWuU8PrzThzRdvYd5n-c8ZlTjdM1Vi-d-OIgrjlQluejE3Oq5iroA97kCP0yALjfk0fb54khRdub-JrMSVhT4V4fhoB5bBgxGE2zQ3QC_A-lmu2AIdvHabSKQA1aMu5Rs5CnLFqh21RbPPoPKbboI5XEErkke31yfrRKMjZf9ht3A=&xkcb=SoCv6_M3l8NY15zHSR0LbzkdCdPP&camk=UoKtGZLa3XJNk6hNWFK-AQ==&p=0&fvj=0&vjs=3,Summer Internship Program (2026 Intake) - AI Governance,"The Bank of East Asia, Limited",10-Apr-26,"Together, we can achieve more

The Bank of East Asia, Limited (""BEA"") is Hong Kong’s largest independent local bank with 47 branches, 41 SupremeGold Centres, and 3 i-Financial Centres throughout the city.

Overseas, BEA has established a presence in Southeast Asia, the United Kingdom, and the United States. Worldwide, including Hong Kong and the rest of Greater China, BEA operates about 120 outlets and employs around 8,000 people. We invite you to become part of our team and to pursue a bright and exciting future.

Responsibilities

Collect and consolidate all AI Use Cases within the Bank Group. This includes rewriting purpose statements for these AI use cases and collaborating with Model Owners and Developers to gather required data fields

Design and develop the AI model inventory framework

Reclassify use cases based on the new model tiering tree

Design the User Interface (UI) for the Model Inventory system

(Optional/Time-permitting) Map model inventory development to regulatory requirements and organize related documentation (e.g., regulatory files, PPTs)

Requirements

Education: Year 2 or 3 undergraduate student majoring in Computer Science, Data Science, Statistics, AI, or a related discipline. Students from Business disciplines with a keen interest in AI applications are also encouraged to apply

Technical Skills: Advanced proficiency in MS Office, particularly Excel (e.g., VLOOKUP, Pivot Tables)

Soft Skills: A fast learner and a proactive self-starter capable of driving deliverables and collaborating effectively with various stakeholders

Mindset: Strong intellectual curiosity with a passion for continuous learning and professional growth

Communication: Excellent written and verbal communication skills in both English and Chinese (Cantonese)

Interpersonal Skills: Ability to challenge constructively and build strong partnerships across the organization, including with Model Owners (Business), Model Developers (Data Science), and Governance teams

What will you gain:
Practical Exposure: Insight into real-world AI use cases, governance frameworks, and Model Inventory systems.

Regulatory Knowledge: Understanding of regulatory requirements regarding AI models and use cases.

Stakeholder Management: Hands-on experience collaborating with various internal parties and business units.

Duration: 8 - 12 weeks (June to August 2026)

Personal data provided by job applicants will be used for recruitment purposes only and will be treated in accordance with the Bank's Personal Information Collection (Employees) Statement and Privacy Policy Statement. Applicants who are not invited for interviews within six weeks may consider their applications unsuccessful and the personal data collected will be destroyed after 1 year.

Temporary,Internship",TRUE,TRUE,TRUE,FALSE,TRUE,Bachelor,1,Entry,,,,Data Science,Ai,,
2,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_WkGcJyr14TFQN9LhQZ8PznuKNEU5Vhu3yas9_PbUBnLbJ5oM6q-eMgQtFO3nxiMAbwxG88TMEp9Op67QAT5kk5Wbm3qYbF1XRcIKTLYUMrJKf-TUlbVjKpBflD_Wbv-Eyyj0Cemb4xRNTIBavbB4eX7XwS6tuHB_ySyyenr9OWFQ2B46XJ3uO4VJX6fyhih7_MMckODSLbuUw2z9gS9MVlNAyNXomlTubtdt6T66zwjYo0XU-mBp3F9PlIfbsp5IuiSQvfT6-K9WnwHR5Q7kca_wMmWTeWymzuqbsqEu8QzfvOHnpRCXvYUKDLDjStZ_txKWiuBuUFVXeRnBZO_EOWnMZoRYIJydUPFH54WIoarmb4Mqh-IxyYEsUZzK9n9cjb6esr8wjrtEedq_-cqo4h7uJZBKFnYaSEql32IrDW9sKWGvf5VJh_ZjTwNHiQguz3Xv1BVXFYJKBN4tMlRMKkGXpmvQjlSQp72EAczJ1rinIIrzMXOKcyrkRDaVv4bWcDXeEh3osLwTs1z-cZ7cs_e2bEI9VY4vX_ghzCyetyKHx8-5Yi1xrPAZmX6gZTla2DWWUeHLsAq16qqDu9EcFyawQ6ByF70rZ66Nw-lSOUygSlw6ETVJlyik9iBhyBXfcBm0YpL4HT1hF-OrRNbHbnPhT6JSnFjIs8pN_d_JZuCoypEOD8n-QFsK2noK6R8-IEHinilpxt1Nru6RRropipe7LyFeNz1m2zOQiXtTFoLF2zq_0k_FB2Yek4S0Y197IOq1rScbaWFNpkGf5xC0xeyhIK337gQxJTKIquFHR8pEvjb8nVfqUoeTDdePfbsszS52q9DOf4C43rRskFT8DdnC6CMyFJjSP4HXdI2446x1n3g4S-8tsdsZHOe7M2sY2qVRYhQ6qS1t6PqinIsk1WtcIaHoPdi5Sg==&xkcb=SoBI6_M3l8NbRaTHb50LbzkdCdPP&camk=UoKtGZLa3XJNk6hNWFK-AQ==&p=0&fvj=0&vjs=3,IT Business Analyst - Agency Contractor,Chiyu Banking Corporation Limited,10-Apr-26,"Chiyu Banking Corporation Limited has been registered as a licensed bank since 1947. Rooted in Hong Kong, we strive to provide one-stop cross-border banking and financial services to customers in Hong Kong, mainland and overseas Chinese. Riding on the edge of the Hong Kong and Fujian business and our cross-border platform, we will continuously maintain its core values of “Sincerity, Flexibility, Tailor-made Service and Professionalism” and provide premium services to our customers to help growing their wealth, and to create values and deliver returns to our stakeholders and staff.

We believe that employees are valuable asset of the company. We offer stimulating careers that will further your personal growth. Come join us for the following position.

Responsibilities:
Process mapping, analysis of as-is and to-be processes, and gap assessments
Understand and explain complex business processes, systems and tools with a specific focus on upstream/downstream impact; understands the relationship between multiple functions and/or tools
Liaise among users and the technical developers to ensure business requirements are well defined and properly implemented
Formulate full set of test plans including test cases, SIT / UAT plans and supporting the preparation of user manual and system migration strategies
Proactively manage all the potential risks on projects and recommend mitigating measures if required

Requirements:
Degree holder in Computer Science or related disciplines
3 to 5 years of relevant experience in system development and implementation, with at least 2 years in business analysis or system analysis role, prior exposure in credit / risk management systems is preferred
Solid experience in handling tasks and documentation in the full SDLC of system development and implementation
Hands on experience in documentation of business requirement, functional specification, SIT, UAT and etc; with strong communication, influencing and stakeholder management skill
Proactive, able to work independently and under pressure
Well-versed written and verbal English and Chinese (both Cantonese and Mandarin)

We offer competitive packages and promising career opportunities to the right candidates. Please send your full resume with current salary, expected salary and the date of availability to Human Resources Department, Chiyu Banking Corporation Ltd, 8/F, Chiyu Bank Building, No. 78 Des Voeux Road Central, Central, Hong Kong or fax to 2986-3233 or by clicking Apply Now .

Information provided will be treated in strict confidence and only be used for recruitment purposes. All personal data of unsuccessful applicants will be destroyed after the recruitment exercise. A copy of Personal Information Collection Statement is available upon request.

Full-time",TRUE,FALSE,FALSE,FALSE,TRUE,Bachelor,3,Entry,,,,,,,
3,038c3619c1e8eced,Part-time Research Assistant in the Department of Social and Behavioural Sciences (Appointment for 12 months with possibility of extension),City University of Hong Kong,10-Apr-26,"A Mixed Method Study of Exploring the Phenomenon of Parentification in Chinese Families

Duties

The appointee will report to the Principal Investigator and be mainly responsible for the following core duties:

Assist in conducting research activities related to youth mental health and family process;
Assist in conducting interviews and focus group with participants;
Conduct qualitative analyses and statistical analyses;
Assist in writing research reports, academic papers, and other project‑related documents;
Liaise with NGOs for the logistic arrangement of data collection; and
Perform any other duties as assigned.
Requirements
A Bachelor’s degree in Journalism/Psychology/Sociology/Social Work or relevant social science disciplines;
Proficiency in speaking and understanding Cantonese and Putonghua;
Good writing skills in both English and Chinese;
Strong willingness to carry out field interviews; and
A strong sense of responsibility, initiative, and the ability to work both independently and in a team are required.
Preference will be given to candidates with research and work experience in social services.
Salary and Conditions of Service

Remuneration package will be highly competitive, commensurate with qualifications and experience.

Information and Application

Further information on the post and the University is available at http://www.cityu.edu.hk, or from the Human Resources Office, City University of Hong Kong, Tat Chee Avenue, Kowloon Tong, Hong Kong [Email : hrojob@cityu.edu.hk/Fax : 2788 1154 or 3442 0311].

To apply, please submit an online application. The closing date is 24 April 2026. Applications will receive full consideration and only shortlisted applicants will be contacted. The University’s privacy policy is available on the homepage.

City University of Hong Kong is an equal opportunity employer. We are committed to the principle of diversity. Personal data provided by applicants will be used for recruitment and other employment-related purposes.

Best Global Universities Rankings #54 (U.S.News & World Report 2025-2026); World University Rankings #73 (THE 2026); #1 in the World’s Most International Universities (THE 2024, 2025 & 2026); Young University Rankings #4 (THE 2024); Asia University Rankings #16 (THE 2025) and #7 (QS 2026)",TRUE,TRUE,FALSE,FALSE,TRUE,Bachelor,,Entry,,,,,,,
4,0a886052621ac382,"Postdoctoral Fellow, Division of Industrial Data Science",Lingnan University,10-Apr-26,"Lingnan University is one of the eight publicly funded institutions in the Hong Kong Special Administrative Region (HKSAR) of the People’s Republic of China (PRC) and has the longest established tradition among the local institutions of higher education. It is widely recognised for providing quality education with a focus on whole-person development and conducting high-impact research for a better world. Moving forward, Lingnan University is well positioned to take lead as a comprehensive university in arts and sciences in the digital era, with impactful research and innovations.

Lingnan University offers undergraduate, taught postgraduate, and research postgraduate programmes in the Faculties of Arts, Business, Social Sciences, and the Schools of Data Science, Graduate Studies and Interdisciplinary Studies. To foster interdisciplinary collaboration and scientific progress, Lingnan University established the Lingnan University Institute for Advanced Study (LUIAS), attracting distinguished scholars from around the world to collaborate with its faculty and students. With traditional strengths in arts, business, social sciences, and interdisciplinary studies, the University aims to equip students with practical knowledge and critical thinking skills to thrive in the future. Subsequent to the establishment of the School of Data Science and LUIAS, Lingnan University is transforming into a hub for global leaders to develop and promote human-centric technology and social policies. Further information about Lingnan University is available at https://www.ln.edu.hk/.

Applications are now invited for the following post:

Postdoctoral Fellow
Division of Industrial Data Science
(Post Ref.: 26/112)

The main responsibilities of this post are to (i) conduct research and evaluation studies; (ii) collect and analyse data; (iii) participate in grant proposals and execution; (iv) participate in and help building academy-industry research; (v) advise several graduate students; (vi) draft manuscripts and write reports; (vii) assist in different research activities and handle administrative work and perform any other duties as assigned by the Person-in-charge or her delegates. The appointees are expected to submit applications for RGC grants, other local/overseas competitive grants and/or fellowship schemes.

General Requirements
Candidates should have (i) a PhD degree in imaging science or related field or an equivalent qualification; (ii) demonstrate research skills in imaging science and machine learning, particularly on image reverse engineering, fake image and video detection, statistical detection models and mathematical models of image processing; (iii) demonstrate experience in academy-industry projects; (iv) interest in publishing high-quality journal papers in the field; (v) demonstrated leadership in research projects; and (vi) fluency of written and spoken English required. Candidates should have obtained / been conferred a PhD degree or an equivalent qualification for no more than three years prior to the commencement of the appointment.

Appointment
The conditions of appointment will be competitive. The remuneration will be commensurate with qualifications and experience. Fringe benefits include annual leave, medical and dental benefits, mandatory provident fund, gratuity and incoming passage and baggage allowance for the eligible appointee. Appointment will normally be made on a fixed-term contract of up to three years.

Application Procedure (online application only)
Please click ""Apply Now"" to submit your application. Applicants shall provide names and contact information of at least three referees to whom applicants’ consent has been given for their providing references. Personal data collected will be used for recruitment purposes only.

We are an equal opportunities employer. Review of applications will continue until the post is filled. Qualified candidates are advised to submit their applications early for consideration.

The University reserves the right not to make an appointment for the post advertised, or to fill the post by invitation or by search. We regret that only shortlisted candidates will be notified.",TRUE,TRUE,FALSE,TRUE,TRUE,"Bachelor, Master, PhD",,Entry,,,,Data Science,Machine Learning,,
5,18cfdb6ad38a28b6,Associate Sourcing & Procurement Representative (Data Analytics),Disney,10-Apr-26,"Job ID 10147213 Location Lantau Island, Hong Kong Business Hong Kong Disneyland Resort Date posted Apr. 10, 2026
Job Summary:

Develop, maintain, and enhance sourcing reports, databases, and analytics to support spend analysis and management reporting.

Improve report quality, data accuracy, and efficiency through system and process enhancements.

Prepare analytical reports and presentation materials for management.

Provide procurement process, policy, and system support to internal stakeholders and external vendors.

Support scheduled and ad‑hoc procurement audits.

Manage minor sourcing projects under supervision.

Support the sourcing team on general administration support and ad hoc projects

Requirements

Bachelor’s degree in computer science, IT, Supply Chain, or a related business discipline; Master’s degree preferred.

Minimum 2 years’ experience in data analysis and report preparation within multinational or sizable organizations.

Strong analytical, reporting, and presentation skills.

Proficient in Microsoft Excel, PowerPoint, and Power BI; experience with Access, AI tools, SAP, Coupa, or other ERP systems is a plus.

Strong communication skills with the ability to work with stakeholders and vendors.

Fluent in English and Chinese.

HKProfessional #LI-CL1",TRUE,TRUE,TRUE,FALSE,TRUE,"Bachelor, Master",2,Entry,,,,,Ai,,
6,1d5bbad8c19e6226,Planner,WPP Media,10-Apr-26,"About WPP Media

WPP is the trusted growth partner for the world's leading brands. With exceptional talent, trusted data and intelligence, and world-class partnerships – all united by our pioneering agentic marketing platform, WPP Open – we help clients navigate change, capture opportunity, and deliver transformational growth.

WPP Media is WPP's AI-driven media operating unit, bringing together media, data, and partnerships to deliver creative personalisation at scale. Connected through WPP Open and powered by Open Intelligence, clients see exactly where, how, and why their media investment is working.

For more information, visit wppmedia.com.

Job Title: Planner




Reports To: Manager, Clients

Function: Clients

Location: Hong Kong




About WPP Media

WPP is the creative transformation company. We use the power of creativity to build better futures for our people, planet, clients and communities. For more information, visit wpp.com.

WPP Media is WPP's global media collective. In a world where media is everywhere and in everything, we bring the best platform, people, and partners together to create limitless opportunities for growth. For more information, visit wppmedia.com




Role Summary and Impact

WPP Media Hong Kong is seeking a Planner to join our client team. In this role, you will be a key contributor to the media planning process, responsible for developing and executing integrated media plans. You will manage day-to-day campaign activities and serve as a reliable point of contact for clients, ensuring smooth coordination and effective delivery.




Core Responsibilities:

Media Plan Development: Develop foundational media plans and recommendations across various channels, including digital, social, and traditional media, based on client briefs and strategic direction.

Campaign Management: Oversee the day-to-day management of media campaigns, ensuring they are executed flawlessly, on schedule, and within budget.

Performance Analysis: Monitor live campaigns, analyze performance data to identify initial insights and trends, and contribute to the development of client-facing reports.

Client & Vendor Coordination: Serve as a day-to-day contact for designated clients, managing their requests and communications. Liaise with media vendors to gather information and proposals.




Skills and Experience

At WPP Media, we believe in the power of our culture and our people. It's what elevates us to deliver exceptional experiences for both our clients and each other. In this role it will be critical to embrace WPP & WPP Media's shared core values:

Be Extraordinary by Leading Collectively to Inspire transformational Creativity.
Create an Open environment by Balancing People and Client Experiences by Cultivating Trust.
Lead Optimistically by Championing Growth and Development to Mobilize the Enterprise.



Required Skills & Experience:

1-2 years of experience in a media planning or digital media role, preferably within a media agency.
Strong understanding of the media landscape and the fundamentals of media planning and buying.
Experience with industry tools such as ad-serving platforms (e.g., Sizmek, Campaign Manager 360) and competitive monitoring tools (e.g., admanGo).
Strong analytical skills with the ability to interpret data and provide initial insights.
Excellent communication skills, with growing confidence in client interactions.
Proficient in Excel for data analysis and PowerPoint for creating presentations.
Fluent in written and spoken English and Cantonese.



Desired Skills & Experience:

Experience working in a matrixed organization.
Knowledge of WPP Media brands and capabilities.
Basic knowledge of SEM/programmatic platforms.



Life at WPP Media & Benefits

Our passion for shaping the next era of media includes investing in our employees to help them do their best work, and we're just as committed to employee growth as we are to responsible media investment. WPP Media employees can tap into the global WPP Media & WPP networks to pursue their passions, grow their networks, and learn at the cutting edge of marketing and advertising. We have a variety of employee resource groups and host frequent in-office events showcasing team wins, sharing thought leadership, and celebrating holidays and milestone events. Our benefits include competitive medical, group retirement plans, vision, and dental insurance, significant paid time off, preferential partner discounts, and employee mental health awareness days.

WPP Media is an equal opportunity employer and considers applicants for all positions without discrimination or regard to particular characteristics. We are committed to fostering a culture of respect in which everyone feels they belong and has the same opportunities to progress in their careers.

We believe the best work happens when we're together, fostering creativity, collaboration, and connection. That's why we've adopted a hybrid approach, with teams in the office around four days a week. If you require flexibility, please discuss this with the hiring team during the interview process.

Please read our Privacy Notice for more information on how we process the information you provide.",TRUE,FALSE,TRUE,FALSE,TRUE,Not Specified,1,Entry,,,,,Ai,,
7,24a9e4bbb1ffbbbc,Senior AI Solution Engineer (Ref: 26022302),Ciao International Limited,10-Apr-26,"Employer Ref: 26022302
Recruit Ref: L060382155
Posting Date: 2026-04-10

Ciao International Limited

Established In 2013, Best Mart 360º has over 170 branches in prestigious shopping areas across Hong Kong, Macau and Mainland China. With mission of providing products with “Best Quality”, “Best Prices”, we insist on developing “Global Procurement” network with overseas suppliers, providing an exquisite shopping experience for our customers. We carry various categories, including Chocolate and Confectioneries, Nuts and Dried Fruits, Beverages and Wines as well as Grocery. Frozen and Chilled products are available at selected stores.

Senior AI Solution Engineer (Ref: 26022302)

Job responsibilities

Design, develop, and implement enterprise-grade AI- centric solutions.
Collaborate with business units, developers, and infrastructure teams to analyze requirements and recommend optimal AI technologies
Handle AI model development, deployment, and performance optimization across ML, LLM, RAG, Computer Vision, or NLP scenarios.
Evaluate and integrate third-party AI platforms like Azure OpenAI, Claude, Anthropic, Google Vertex, or Alibaba Cloud PAI.
Build AI-related MLOps/DateOps pipelines to enhance automation and maintainability.
Produce technical documentation, architecture diagrams, and internal training guides to ensure scalability and security standards.
Stay ahead of emerging AI technologies to drive operational efficiency and customer experience improvements

Job Requirements:

Bachelor's degree or above in Information Technology, Computer Science, or related fields.
Minimum 3-5 years in solution design, system architecture, or AI application development.
Proficiency in at least one AI framework such as PyTorch, TensorFlow, LangChain, or Transformers.
Strong skills in Python, SQL, API integration and container-based deployment (Docker/Kubernetes).
Hands-on experience with LLM applications and Prompt Engineering preferred.
Excellent communication and project management skills for cost-functional collaboration.
Practical experience with cloud platforms (Azure/AWS/Alibaba Cloud) highly regarded.
AI project background in retail, e-commerce, or manufacturing.
Expertise in GenAI or private LLM system integration.
Familiarity with RAG frameworks, vector databases (Milvus/Pinecone/FAISS), or Knowledge Base integration.

We offer competitive package including 5-day work week, medical insurance and staff discount, etc. Interest parties, please send full resume with current and expected salary and date of availability by clicking ""Apply"".

(Data collected will be used for recruitment purpose only)



Industry:
Food & Beverage
Job Category / Function:
Administration / Secretary (Administration / Operation Manager)
Administration / Secretary (Others)
Merchandising / Purchasing (Procurement / Purchasing / Sourcing)
Merchandising / Purchasing (Merchandising Management)
Merchandising / Purchasing (Others)
Job Position Level:
Top
Employment Term:
Full Time / Permanent
Min. Edu. Level Req:
Bachelor
Minimum QF Level attained:
-
Total Working Exp:
3-5
Salary(HKD):
-
Location:
Kwun Tong District / Ngau Tau Kok


Benefits:
5-Day Work
Medical Insurance
Staff Discount",TRUE,FALSE,TRUE,TRUE,TRUE,Bachelor,3,Entry,"Python, Sql","Alibaba Cloud, Cloud, Azure, Aws","Docker, Kubernetes",,"Ai, Ml, Tensorflow, Openai, Genai, Nlp, Pytorch, Computer Vision",,
8,356492fd6f696b2e,IT Officer in the Department of Social and Behavioural Sciences (Appointment for 12 months),City University of Hong Kong,10-Apr-26,"The Department of Social and Behavioural Sciences is seeking talent in the computer-related field.

Duties
Enhance, update, and revamp the departmental webpage;
Set up the e-publicity system and the e-ethical review system; and
Perform any other duties as assigned.
Requirements
A Bachelor’s degree in Computer Science or related disciplines, with at least 3 years of post-qualification work experience;
Experience in designing and implementing Web Applications, and project management;
Good technical documentation and communication skills;
Proficiency in MS Office applications (including Excel, PowerPoint, Word, Teams, and Access);
Ability to quickly adapt and learn new technologies and systems;
Good analytical skills with a strong sense of responsibility;
Good communication and interpersonal skills, with a good command of both written and spoken English and Chinese (including Putonghua); and
Attentive to details, and able to work both independently and in a team are required.
Salary and Conditions of Service

Salary offered will be highly competitive, commensurate with qualifications and experience. Fringe benefits include leave, medical and dental consultations at the campus clinic.

Information and Application

Further information on the post and the University is available at http://www.cityu.edu.hk, or from the Human Resources Office, City University of Hong Kong, Tat Chee Avenue, Kowloon Tong, Hong Kong [Email : hrojob@cityu.edu.hk/Fax : 2788 1154 or 3442 0311].

To apply, please submit an online application. Applications will receive full consideration until the position is filled and only shortlisted applicants will be contacted. The University’s privacy policy is available on the homepage.

City University of Hong Kong is an equal opportunity employer. We are committed to the principle of diversity. Personal data provided by applicants will be used for recruitment and other employment-related purposes.

Best Global Universities Rankings #54 (U.S.News & World Report 2025-2026); World University Rankings #73 (THE 2026); #1 in the World’s Most International Universities (THE 2024, 2025 & 2026); Young University Rankings #4 (THE 2024); Asia University Rankings #16 (THE 2025) and #7 (QS 2026)",TRUE,FALSE,FALSE,FALSE,TRUE,Bachelor,3,Entry,,,,,,,
9,3adc5ac3fa89fd44,System Analyst,SunnyVision Limited,10-Apr-26,"SunnyVision Limited, one of the top Internet Service Provider in Hong Kong, was established in 1998. It aims at making Internet technology a new corporate strategy for companies of all sizes. To help client enhance their productivity and market share in the electronic economy, SunnyVision strives to establish their web applications with unparalleled reliability and security via their robust network infrastructure.

We are in constant search for dynamic, forward thinking and result-driven talents to join our team. We love to hear from every creative minds.

Responsibilities:

To be responsible for system development, testing and maintenance support of different scale of projects.
To participate and supervise junior staff to perform front-end and back-end Java/C# .NET-based web application development
To perform technical analysis and system design
To perform Java/C# .NET programming, testing and application deployment
To prepare system documentation and user manual
Requirements:

Degree holder in Computer Science, Information Technology or related discipline
Minimum 3 years of post-qualification IT experience including at least 3 years of solid Gov't related project experience
Minimum 3 years of IT experience in conducting analysis, design and implementation of web-based application systems, producing system specifications, ensuring conformance of software packages with user requirements, conducting system testing and conducting system installation and server maintenance
Experience in Java/C# .NET, OpenJDK, Spring framework, Angular framework, Git, REST API, Jasper Report, HTML, CSS, JavaScript, React, Apache, RDBMS, SQL
Knowledge with JBoss, MS SQL, Windows Server is preferable
Work independent, analytical, good problem solving skills, and must be able to cope with tight project schedule
Good communication skill in both spoken and written English and Chinese
Immediately available preferred
We Offer:
Attractive remuneration package (Basic + Bonus)

Bank Holiday

Performance bonus

Medical benefits for all employees

Dental benefits available after 3 years of service

Want to know more about us, please visit http://www.sunnyvision.com

9:00am-6:00pm, 5 days week, Mon-Fri (3 months probation)

Interest party, please send your full resume with CURRENT & EXPECTED SALARY by email to jobs at sunnyvision.com for an interview.

All applications will be treated in the strictest confidence. We regret that only shortlisted candidates will be notified. Data collected will be used for recruitment purpose only.

Full-time",TRUE,FALSE,FALSE,FALSE,TRUE,Bachelor,3,Entry,"Javascript, Css, Java, Html, Sql",,Git,"Angular, Spring, React",,,
10,3df481f6ab852369,Research and Insight Lead - International Wealth and Premier Banking,HSBC Global Services Limited,10-Apr-26,"GCB 5


We are currently seeking a high calibre professional to join our team as a Research and Insight Lead.


In this role you will:

Identify future-facing opportunities through trend analysis, behavioural insights, and collaboration with foresight, strategy, and research teams.
Lead the design of speculative and near-term concepts, working across physical and digital channels to envision new propositions, services, and experiences.
Translate complex, ambiguous problem spaces into actionable design directions, experience frameworks, or minimum viable concepts.
Facilitate co-creation sessions, design sprints, and future scenario workshops with internal stakeholders and external partners.
Produce compelling artefacts — from customer journeys and service models to concept videos, storyboards or prototypes — to communicate vision and drive alignment.
Collaborate with product, proposition, strategy and technology teams to help incubate promising ideas into scalable pilots or initiatives.
Act as a thought partner to senior leaders, helping them imagine and evaluate what the future of personal banking could look like across markets and customer segments.
Build strong relationships across global teams, championing design-led innovation as a strategic enabler of growth and transformation.
Promote and enable an inclusive and diverse culture that respects and values differences.
Mentor & coach, sharing knowledge, inspiring and motivating to build high-performing teams.
Embed strong culture of collaboration and innovation, facilitating outcomes that benefit the bank and the team
Hone trusted relationship with colleagues across the business, through personal engagement and professional credibility


To be successful you will need:

Proven experience in innovation, service or strategic design, with a portfolio of forward-thinking concepts, prototypes or speculative design work.
A strong ability to identify trends, emerging behaviours and weak signals, and translate them into future design opportunities.
Comfortable working in ambiguity, with the ability to frame and reframe problem spaces where the outcome is not yet defined.
Fluency in human-centered design methodologies (e.g. design research, systems thinking, concept development, experience prototyping).
Familiarity with emerging technologies (AI, open banking, etc.) and the implication on customer experience.
Excellent facilitation and communication skills — able to bring stakeholders on the journey through storytelling, visualisation and narrative.
A global perspective and sensitivity to cultural, technological and regulatory contexts across different markets.
Experience working in cross-functional environments with innovation teams, product leads, technologists, or researchers.
Curiosity, optimism, and a bias toward experimentation and exploration.


Opening up a world of opportunity

www.hsbc.com/careers


HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.


Issued by The Hongkong and Shanghai Banking Corporation Limited.

https://www.youtube.com/embed/QmZ7Un5gR8c?si=LCa6slfBqlUlxUE-",TRUE,FALSE,TRUE,FALSE,TRUE,Not Specified,,Entry,,,,,Ai,,
